company_name,website,domain,city,state,phone,address,rating,review_count,status,basis,confidence,source
SONIQ Windows and Doors Austin,https://soniqwindows.com/,soniqwindows.com,,,+1 512-256-1734,,5,2,YES,name states window installation/replacement/doors,high,name + review keyword filter
Royal Renovations Contractors,http://www.royal-renovations.com/,royal-renovations.com,Dallas,TX,+1 888-899-3368,"1111 W Mockingbird Ln Ste 1360, Dallas, TX 75247, United States",4.8,101,YES,"Windows listed among residential services (painting, siding, roofing, gutters, windows, additions)",high,verified last run (web search)
CAT Exteriors Dallas,https://www.catexteriors.pro/,catexteriors.pro,Dallas,TX,+1 833-444-4228,"9865 Chartwell Dr, Dallas, TX 75243, United States",4.4,47,YES,"Replacement windows (double-hung, single-hung, picture, geometric); Anlin gold star dealer with installation",high,verified last run (web search)
LockTight Impact Windows Doors & Roofing Yes,https://locktightimpact.com/?utm_source=omg-gbp&utm_medium=webclick,locktightimpact.com,Fort Lauderdale,FL,+1 954-500-5625,"2200 SW 45th St #101, Fort Lauderdale, FL 33312, United States",4.8,2215,YES,window in name + review describes window work,high,name + review keyword filter
Surplus Building Materials (SBMTX) | Home Improvement Doors Kitchens Floors & Installation Experts in Texas Yes,https://sbmtx.com/,sbmtx.com,Farmers Branch,TX,+1 972-241-4444,"3404 Belt Line Rd, Farmers Branch, TX 75234, United States",4.3,483,YES,"Carries windows in a 150,000 sq ft showroom/warehouse and offers window replacement service alongside door, flooring and cabinet installation",medium,verified last run (web search)
MR GLAZIER - Windows Doors Shower Enclosures No,https://mrglazier.com/fl-fort-lauderdale/,mrglazier.com,Fort Lauderdale,FL,+1 954-504-6501,"217 S Federal Hwy, Fort Lauderdale, FL 33301, United States",0,0,YES,name states window installation/replacement/doors,high,name + review keyword filter
Advanced Windows Doors and More,https://advancedwindowsdoorsandmore.com/,advancedwindowsdoorsandmore.com,,,+1 469-678-0401,,5,30,YES,"Window installation and replacement, glass replacement; also doors and siding",high,verified last run (web search)
Baker Roofing & Construction Inc,https://baker-roofing.com/,baker-roofing.com,Dallas,TX,+1 855-766-3777,"6507 Trammel Dr, Dallas, TX 75214, United States",4.9,62,YES,"Replacement windows, window screens, cracked/broken window glass repair; window installation as part of construction services",high,verified last run (web search)
Elite Remodeling Group Inc. No,https://www.eliteremodelinggroup.com/,eliteremodelinggroup.com,Rockford,IL,+1 815-977-9685,"5411 E State St, Rockford, IL 61108, United States",5,4353,YES,review explicitly describes window install/replacement,high,name + review keyword filter
WindowCraft Inc. No,https://windowcraftinc.com/,windowcraftinc.com,Gainesville,TX,+1 940-726-5008,"6441 I-35 Frontage Rd, Gainesville, TX 76240, United States",3.5,8,YES,Sale and installation of windows and doors for new construction and remodeling - Gainesville showroom of the same company as ID 136,high,verified last run (web search)
Action Window & Glass Inc.,http://actionwindowfl.com/,actionwindowfl.com,,,+1 754-293-7026,,4.8,59,YES,window in name + review describes window work,high,name + review keyword filter
Texas Door & Trim Inc.,http://www.tdt-inc.com/,tdt-inc.com,Dallas,TX,+1 214-342-9393,"11220 Petal St, Dallas, TX 75238, United States",2.8,24,YES,"Sells Andersen/Parrett/Eagle/Atrium/Velux windows with a full-time window specialist, and offers on-site window installation, staging, screen and tune services",medium,verified last run (web search)
East Coast Windows & Doors Inc.,https://eastcoastwindows.com/,eastcoastwindows.com,Pompano Beach,FL,+1 954-946-3697,"1711 SW 7th Ave, Pompano Beach, FL 33060, United States",4.5,110,YES,name states window installation/replacement/doors,high,name + review keyword filter
Austin Retrofit Inc.,http://www.austinretrofit.com/,austinretrofit.com,Austin,TX,+1 512-926-6665,"1834 Ferguson Ln Bldg 1300, Austin, TX 78754, United States",4.5,30,YES,review explicitly describes window install/replacement,high,name + review keyword filter
Creative Windows and Doors Inc.,https://www.google.com/maps/vt/pb=!1m4!1m3!1i17!2i36345!3i55688!2m3!1e0!2sm!3i793559766!2m2!1e2!2sspotlit!3m8!2sen!3sph!5e1105!12m4!1e68!2m2!1sset!2sRoadmap!4e0!5m1!1e0!23i1368782!23i1368785!23i4861626!23i10211310!23i1381938!23i47054629!23i47029525!23i72272233!23i72272234!23i72272236!23i72458815!23i94243289!23i94255677!23i72860224!23i10211515!23i94260020!23i100799651!23i72549439!27m15!299174093m14!14m13!1m8!1m2!1y9860913563660247961!2y1166371562866519408!2s%2Fg%2F1v2f19j1!4m2!1x260918035!2x3493246800!15sgcid%3Awindow_installation_service!2b0!3b0!6b0!8b0,google.com,Fort Lauderdale,FL,+1 305-218-2841,"2421 Marina Bay Dr W suite 13-107, Fort Lauderdale, FL 33312, United States",,,YES,name states window installation/replacement/doors,high,name + review keyword filter
Windows of Texas Inc.,https://windowsoftexas.com/,windowsoftexas.com,Grapevine,TX,+1 682-201-5645,"312 W Northwest Hwy, Grapevine, TX 76051, United States",4.8,21,YES,New and replacement windows and doors for DFW homes; window installation and repair via partner suppliers/installers,high,verified last run (web search)
All American Windows and Doors Inc.,http://www.aawimpact.com/,aawimpact.com,Fort Lauderdale,FL,+1 954-786-8525,"6001 Powerline Rd Ste B, Fort Lauderdale, FL 33309, United States",3.6,77,YES,name states window installation/replacement/doors,high,name + review keyword filter
Solid Exteriors LLC,http://solid-exteriors.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=16700656850061699214,solid-exteriors.com,,,+1 469-520-0466,,4.7,16,YES,"Windows listed as a service alongside James Hardie siding, doors and gutters",high,verified last run (web search)
Legacy Crown Exteriors LLC,http://www.legacycrownexteriors.com/,legacycrownexteriors.com,,,+1 903-312-4574,,5,18,YES,Window installation as a listed service of the general contractor,high,verified last run (web search)
Kirk Windows LLC,http://www.kirkwindows.com/,kirkwindows.com,,,+1 972-977-7292,,4.8,47,YES,"Replacement windows, custom windows, egress windows, window installation (Pella)",high,verified last run (web search)
