company_name,website,domain,phone,address,rating,review_count,qualified,window_services,also_vehicle_glass,confidence,evidence,source,site_status
All Season Remodeling Inc.,http://www.allseasonremodelinginc.com/,allseasonremodelinginc.com,+1 815-988-1375,,0,0,UNRESOLVED,"unknown — remodeling contractor per name only, no indexed content found",False,low,"No indexed page from allseasonremodelinginc.com in any result. Phone 815-988-1375 surfaced only as a Yellow Pages listing for 'Patio Builders, Home Improvements, Deck Builders' at 238 Gilbert Ter, Mac",web search - no usable evidence,UNREACHABLE
Ortega Glass & Welding Yes,https://ortegabry12.wixsite.com/ortegaglassandwelder,ortegabry12.wixsite.com,+1 469-939-2674,,5,2,UNRESOLVED,glass and welding service (scope not established),False,low,Only indexed text from ortegabry12.wixsite.com/ortegaglassandwelder is 'Ortega Glass & Welder Service aims to achieve a high level of customer satisfaction ... 24/7 Emergency Replacement services' — n,web search - no usable evidence,UNREACHABLE
Action Auto Glass Yes,http://actionautomobileglass.com/?utm_source=gmb&utm_medium=referral,actionautomobileglass.com,+1 512-247-8230,,0,0,UNRESOLVED,unknown — no indexed content found for this Austin business,False,low,"Two searches returned nothing for actionautomobileglass.com or an Austin 'Action Auto Glass' at 512-247-8230; only unrelated same-name shops in Denver CO, Temple TX and Whitehouse TX. No Google review",web search - no usable evidence,UNREACHABLE
LIME Shine Yes,http://limeshinewc.com/,limeshinewc.com,+1 512-537-7024,,5,0,UNRESOLVED,unknown — no indexed content found,False,low,"Two searches returned nothing for limeshinewc.com or an Austin 'LIME Shine' at 512-537-7024; only unrelated firms (Shine Window Cleaning of Austin, and a separate LIME Window & Exterior Cleaning in Mo",web search - no usable evidence,UNREACHABLE
THE WINDOW RANGERS LLC Yes,http://thewindowrangers.com/,thewindowrangers.com,+1 623-414-2899,,5,2,UNRESOLVED,unknown — no indexed content for this domain,False,low,Three searches found no content from thewindowrangers.com and nothing tied to 623-414-2899. Two similarly named but differently domained firms exist — windowrangers.com ('window cleaning ... power was,web search - no usable evidence,UNREACHABLE
Adan Only Glass Services Yes,https://www.onlyglassservices.com/,onlyglassservices.com,+1 682-241-3379,,0,0,UNRESOLVED,"unknown — glass business, scope not established",False,low,Three searches returned no indexed content from onlyglassservices.com and nothing tied to 682-241-3379; results were entirely other Fort Worth / Texas glass companies. No Google review text in the rec,web search - no usable evidence,UNREACHABLE
City Limit Construction LLC Yes,https://citylimitconstruction.com/,citylimitconstruction.com,+1 512-729-3300,"2009 Ranch Rd 620 N Bldg 3 suite 310, Austin, TX 78734, United States",4.9,69,UNRESOLVED,"Construction and remodeling — demolition, remodels, new builds, painting, pools",False,low,"citylimitconstruction.com/home-remodeling/ and /commercial-services/ — 'everything from pressure washing to window cleaning'; that is window CLEANING, not installation. Two searches found no window in",web search - no usable evidence,UNREACHABLE
Top A1 Contracting Yes,http://topa1contracting.com/,topa1contracting.com,+1 833-867-2100,"3701 E State St Unit G, Rockford, IL 61108, United States",4.7,73,UNRESOLVED,"Residential and commercial roofing, siding and gutters",False,low,"topa1contracting.com and /siding/ — 'roof inspections, roof repair, roof replacement, storm damage restoration... gutters, siding and more'. A second search suggested window installation appears on so",web search - no usable evidence,UNKNOWN
Laurel Haven Homes Yes,http://www.laurelhavenhomes.com/,laurelhavenhomes.com,+1 512-261-4663,"5348 Pedernales Summit Pkwy, Austin, TX 78738, United States",4.6,22,UNRESOLVED,"Luxury custom home builder (new construction, Lake Travis / Austin)",False,low,"laurelhavenhomes.com — 'award-winning custom home builder'; new home construction, custom homes, some remodeling. A directory profile notes they are 'an authorized builder for Andersen Windows & Doors",web search - no usable evidence,UNKNOWN
MRC Water Restoration & Construction Yes,http://mrcusa.com/,mrcusa.com,+1 214-809-7350,"6271 Highland Hills Dr, Dallas, TX 75241, United States",5,109,UNRESOLVED,"Water/fire damage restoration, mold remediation, roofing and reconstruction",False,low,"mrcusa.com/services/ — 'water restoration and water extraction, disaster recovery, fire restoration, demolition, board up and securing property, and construction services and rebuild'; also branded 'M",web search - no usable evidence,UNKNOWN
Pecos Builders Yes,https://pecosbuilders.com/,pecosbuilders.com,+1 512-766-5564,"7415 Southwest Pkwy, Austin, TX 78735, United States",5,9,UNRESOLVED,"Home remodeling contractor — kitchen, bath, whole-home remodels",False,low,"pecosbuilders.com / Yelp — 'multi-room remodels, kitchen remodels, bathroom remodels, basement remodels, whole home remodels, attic remodels'. Two searches surfaced no window installation or replaceme",web search - no usable evidence,UNREACHABLE
Tukuran Glass & Aluminum Supply | Glass Door Installer,,,,,5,501,UNRESOLVED,"glass shop or building contractor, window scope unknown",False,low,"No web presence found. Two searches on the exact name returned only unrelated glass/aluminum suppliers in Malaysia, the US and elsewhere. The source record has no website, phone or address, so there i",web search - no usable evidence,NO_WEBSITE
Lakeland Glass Inc.,,,+1 630-994-6878,,0,0,UNRESOLVED,"Glass / door business (Rockford, IL)",False,low,"The only listing matching the record's phone (630) 994-6878 is yelp.com/biz/lakeland-glass-rockford, categorized 'Door Sales/Installation', Rockford IL 61109, with no service detail and no reviews ind",web search - no usable evidence,NO_WEBSITE
