company_name,website,domain,phone,address,person_name,role,role_tier,email,email_type,company_mailbox,source_page,context,status
1st Capital Certified Roofing,https://roofingcompanyaustin.com/,roofingcompanyaustin.com,+1 512-358-1300,,,,,ben@1stcapitalcertified.com,unattributed,ben@1stcapitalcertified.com,https://roofingcompanyaustin.com/,,found
1st Home & Commercial Services,https://www.1sthomeandcommercialservices.com/,1sthomeandcommercialservices.com,+1 512-282-7787,"630 Ralph Ablanedo Dr Bldg 1, Austin, TX 78748, United States",,,,,,,,,no email published
828 Windows & Doors,http://828windowsanddoors.com/,828windowsanddoors.com,+1 214-389-2828,,,,,,,,,,no email published
8WS Construction,https://commercialconstructionaustin.com/,commercialconstructionaustin.com,+1 936-298-4902,,,,,,,,,,no email published
921 Roof,https://www.921roof.com/,921roof.com,+1 972-921-7663,,,,,info@921roof.com,generic mailbox,info@921roof.com,https://www.921roof.com/,,found
A & D Window Cleaning & Window Repair,https://aanddwindows.com/,aanddwindows.com,+1 512-918-2676,"1017 Ranch Rd 620 S #210, Lakeway, TX 78734, United States",,,,cs@aanddwindows.com,unattributed,cs@aanddwindows.com,https://aanddwindows.com/,,found
A & D Window Cleaning & Window Repair,https://aanddwindows.com/,aanddwindows.com,+1 512-918-2676,"1017 Ranch Rd 620 S #210, Lakeway, TX 78734, United States",,,,hello@austinglassguys.com,generic mailbox,cs@aanddwindows.com,https://aanddwindows.com/,,found
A to Z GC - Home Remodeling,https://atoz-gc.com/,atoz-gc.com,+1 954-280-2848,"BB3, 5933 Ravenswood Rd BB3, Fort Lauderdale, FL 33312, United States",,,,,,,,,no email published
A.M Windows And Doors,https://amwindowsandoors.com/,amwindowsandoors.com,+1 561-639-9752,"10749 Cleary Blvd, Plantation, FL 33324, United States",,,,sales@amwindowsandoors.com,generic mailbox,sales@amwindowsandoors.com,https://amwindowsandoors.com/,"Request a Quote Today Reach Us Location: 10749 Cleary Boulevard, Plantation Fl, 33324 Email: sales@amwindowsandoors.com Phone: +1-561-639-9752 First Name Email Name Message Send Message The form has b",found
ABA Sliding Glass Repairs,http://fortlauderdaleslidingdoors.com/,fortlauderdaleslidingdoors.com,+1 754-285-5380,"1900 E Sunrise Blvd, Fort Lauderdale, FL 33304, United States",,,,info@fortlauderdaleslidingdoors.com,generic mailbox,info@fortlauderdaleslidingdoors.com,https://www.fortlauderdaleslidingdoors.com/,Email Us Email Us,found
ABC Supply Co. Inc.,https://www.abcsupply.com/locations/location?BranchNumber=041,abcsupply.com,+1 214-630-3940,"4833 Singleton Blvd, Dallas, TX 75212, United States",Diane M. Hendricks,Founder,1,,,,https://www.abcsupply.com/about-us/leadership/,"named on site as ""Founder Diane M""",found
ABC Supply Co. Inc.,https://www.abcsupply.com/locations/location?BranchNumber=041,abcsupply.com,+1 214-630-3940,"4833 Singleton Blvd, Dallas, TX 75212, United States",Keith Rozolis,CEO,1,,,,https://www.abcsupply.com/about-us/leadership/,"named on site as ""Chief Executive Officer Keith Rozolis l""",found
ABC Supply Co. Inc.,https://www.abcsupply.com/locations/location?BranchNumber=041,abcsupply.com,+1 214-630-3940,"4833 Singleton Blvd, Dallas, TX 75212, United States",Mike Jost,President,1,,,,https://www.abcsupply.com/about-us/leadership/,"named on site as ""President and Chief Operating Off""",found
ABC Supply Co. Inc.,https://www.abcsupply.com/locations/location?BranchNumber=041,abcsupply.com,+1 214-630-3940,"4833 Singleton Blvd, Dallas, TX 75212, United States",Jonathan Shepard,President,1,,,,https://www.abcsupply.com/about-us/leadership/,"named on site as ""President of ABC Supply""",found
ABC Supply Co. Inc.,https://www.abcsupply.com/locations/location?BranchNumber=041,abcsupply.com,+1 214-630-3940,"4833 Singleton Blvd, Dallas, TX 75212, United States",Southwest Region,President,1,,,,https://www.abcsupply.com/about-us/leadership/,"named on site as ""Vice President As vice president of AB""",found
ABC Supply Co. Inc.,https://www.abcsupply.com/locations/location?BranchNumber=041,abcsupply.com,+1 214-630-3940,"4833 Singleton Blvd, Dallas, TX 75212, United States",West Region,President,1,,,,https://www.abcsupply.com/about-us/leadership/,"named on site as ""Vice President As West Region Vice Pre""",found
ABC Supply Co. Inc.,https://www.abcsupply.com/locations/location?BranchNumber=041,abcsupply.com,+1 214-630-3940,"4833 Singleton Blvd, Dallas, TX 75212, United States",Northeast Region,President,1,,,,https://www.abcsupply.com/about-us/leadership/,"named on site as ""Vice President As Northeast Region vic""",found
ABC Supply Co. Inc.,https://www.abcsupply.com/locations/location?BranchNumber=041,abcsupply.com,+1 214-630-3940,"4833 Singleton Blvd, Dallas, TX 75212, United States",Midwest Region,President,1,,,,https://www.abcsupply.com/about-us/leadership/,"named on site as ""Vice President As Vice President of AB""",found
ABC Supply Co. Inc.,https://www.abcsupply.com/locations/location?BranchNumber=041,abcsupply.com,+1 214-630-3940,"4833 Singleton Blvd, Dallas, TX 75212, United States",South Region,President,1,,,,https://www.abcsupply.com/about-us/leadership/,"named on site as ""Vice President""",found
ABC Supply Co. Inc.,https://www.abcsupply.com/locations/location?BranchNumber=041,abcsupply.com,+1 214-630-3940,"4833 Singleton Blvd, Dallas, TX 75212, United States",Southeast Region,President,1,,,,https://www.abcsupply.com/about-us/leadership/,"named on site as ""Vice President As the Southeast Region""",found
ABC Supply Co. Inc.,https://www.abcsupply.com/locations/location?BranchNumber=041,abcsupply.com,+1 214-630-3940,"4833 Singleton Blvd, Dallas, TX 75212, United States",Frank Marcoccio,President,1,,,,https://www.abcsupply.com/about-us/leadership/,"named on site as ""President of ABC Supply Interiors""",found
ABC Supply Co. Inc.,https://www.abcsupply.com/locations/location?BranchNumber=041,abcsupply.com,+1 214-630-3940,"4833 Singleton Blvd, Dallas, TX 75212, United States",Matt Cooper,President,1,,,,https://www.abcsupply.com/about-us/leadership/,"named on site as ""Vice President""",found
ABC Supply Co. Inc.,https://www.abcsupply.com/locations/location?BranchNumber=041,abcsupply.com,+1 214-630-3940,"4833 Singleton Blvd, Dallas, TX 75212, United States",Tom Kuchan,President,1,,,,https://www.abcsupply.com/about-us/leadership/,"named on site as ""vice president""",found
ABC Supply Co. Inc.,https://www.abcsupply.com/locations/location?BranchNumber=041,abcsupply.com,+1 214-630-3940,"4833 Singleton Blvd, Dallas, TX 75212, United States",Scott Toumbleston,President,1,,,,https://www.abcsupply.com/about-us/leadership/,"named on site as ""Vice President""",found
ABC Supply Co. Inc.,https://www.abcsupply.com/locations/location?BranchNumber=041,abcsupply.com,+1 214-630-3940,"4833 Singleton Blvd, Dallas, TX 75212, United States",Lloyd Hamilton,President,1,,,,https://www.abcsupply.com/about-us/leadership/,"named on site as ""Vice President""",found
ABC Supply Co. Inc.,https://www.abcsupply.com/locations/location?BranchNumber=041,abcsupply.com,+1 214-630-3940,"4833 Singleton Blvd, Dallas, TX 75212, United States",Search Search,Partner,3,,,,https://www.abcsupply.com/about-us/acquisitions/,"named on site as ""Partner with us""",found
AC Glass and Mirror,http://www.acglass.biz/,acglass.biz,+1 214-604-3394,"2708 Reynolds Ave, Dallas, TX 75232, United States",,,,,,,,,no email published
Accolade Windows & Doors Replacement,http://www.accoladewindows.com/,accoladewindows.com,+1 512-288-8354,"9705 Research Blvd Ste C2, Austin, TX 78759, United States",,,,sales@accoladewindows.com,generic mailbox,sales@accoladewindows.com,https://accoladewindows.com/,sales@accoladewindows.com +1 512-288-8354 sales@accoladewindows.com sales@accoladewindows.com sales@accoladewindows.com +1 512-288-8354 sales@accoladewindows.com Windows Aluminum Windows Vinyl Windows,found
Accolade Windows & Doors Replacement,http://www.accoladewindows.com/,accoladewindows.com,+1 512-288-8354,"9705 Research Blvd Ste C2, Austin, TX 78759, United States",,,,info@accoladewindows.com,generic mailbox,sales@accoladewindows.com,https://accoladewindows.com/,,found
Ace Discount Glass & Door,https://www.quickglassservice.com/,quickglassservice.com,+1 512-345-3105,"6308 Spicewood Springs Rd, Austin, TX 78759, United States",,,,acediscountglass@gmail.com,unattributed,acediscountglass@gmail.com,https://www.quickglassservice.com/about-us-glass-repair/,acediscountglass@gmail.com Call 512-345-3105 now for 24/7 emergency assistance or email us at acediscountglass@gmail.com for more information — Call us today for a quick quote! ctly and we handle the ,found
Ace Handyman Services West Austin,https://www.acehandymanservices.com/offices/west-austin?utm_source=google&utm_medium=gbp,acehandymanservices.com,+1 512-366-3142,"201 Ranch Rd 620 S A, Lakeway, TX 78734, United States",,,,,,,,,no email published
Acme Glass and Tinting,https://911window.com/,911window.com,+1 972-677-7172,,,,,,,,,,no email published
ACP Construction & ECO-Energy Inc.,https://acpconstructioninc.com/,acpconstructioninc.com,+1 561-232-2560,"6555 Powerline Rd #208, Fort Lauderdale, FL 33309, United States",,,,info@acpconstructioninc.com,generic mailbox,info@acpconstructioninc.com,https://acpconstructioninc.com/,"info@acpconstructioninc.com info@acpconstructioninc.com 6555 Powerline Rd #208 Fort Lauderdale, FL 33309 561.232.2560 info@acpconstructioninc.com Working Hours Visit us at our HQ for a mean cup of cof",found
Action Window & Glass Inc.,http://actionwindowfl.com/,actionwindowfl.com,+1 754-293-7026,,Specialists Deal,Owner,1,,,,https://www.actionwindowfl.com/,"named on site as ""Owner""",found
Advanced Glass Industries,http://advancedglassind.com/,advancedglassind.com,+1 954-588-1858,"4750 N Dixie Hwy #7, Fort Lauderdale, FL 33334, United States",,,,advancedindustries18@gmail.com,unattributed,advancedindustries18@gmail.com,https://advancedglassind.com/,"advancedindustries18@gmail.com advancedindustries18@gmail.com your vision to life. Request a consultation Call 954-530-9296 By appointment only Advanced Glass Industries Only the best, nothing less. 4",found
