company_name,website,domain,phone,address,rating,review_count,qualified,window_services,also_vehicle_glass,confidence,evidence,source,site_status,locations,other_phones,other_addresses
2 guys home repair LLC.,,,+1 469-927-4674,,4.8,12,UNRESOLVED,home repair / remodeling,False,low,"Business confirmed by phone match — Yelp '2 Guys Remodeling - Dallas, TX, (469) 927-4674'; also Facebook '2 GUYS Home Repair, Cedar Hill TX'. Neither listing publishes a service list, so whether they ",no usable evidence,NO_WEBSITE,1,,
4Family Construction,,,,,5,2,UNRESOLVED,unknown (construction),False,low,"No listing found under this name in either search; results were other contractors (4U Construction & Remodeling, 4 C's Remodeling, 4 R Construction). No address or phone in source data.",no usable evidence,NO_WEBSITE,1,,
A & M Remodel and Construction,,,+1 972-809-3528,"3619 Brandon St, Dallas, TX 75211, United States",4.4,7,UNRESOLVED,general contractor / remodeling,False,low,"BuildZoom: 'A&M Remodel & Construction, 3619 Brandon St, Dallas TX' holds a General Contractor license (City of Dallas status shown at one point as cancelled). No service list or window evidence found",no usable evidence,NO_WEBSITE,1,,
A auto glass,,,+1 817-701-5738,,5,32,UNRESOLVED,"auto-glass name, but may also do building glass — must verify",False,low,Two searches found no business listing matching this name with phone 817-701-5738; only unrelated Fort Worth auto glass shops with different numbers. Not inferring from the name.,no usable evidence,NO_WEBSITE,1,,
Able Glass,,,+1 214-207-4421,"381 Casa Linda Plaza, Dallas, TX 75218, United States",4.8,4818,UNRESOLVED,unknown,False,low,"Nothing found for Able Glass at 381 Casa Linda Plaza, Dallas — Yelp shows a different company, 'AGAPE GLASS', at that exact address. 'Able Glass DFW' (Fort Worth, 817-829-2214) advertises residential,",no usable evidence,NO_WEBSITE,1,,
Action Auto Glass,http://actionautomobileglass.com/?utm_source=gmb&utm_medium=referral,actionautomobileglass.com,+1 512-247-8230,,0,0,UNRESOLVED,unknown — no indexed content found for this Austin business,False,low,"Two searches returned nothing for actionautomobileglass.com or an Austin 'Action Auto Glass' at 512-247-8230; only unrelated same-name shops in Denver CO, Temple TX and Whitehouse TX. No Google review",no usable evidence,UNREACHABLE,1,,
Adan Only Glass Services,https://www.onlyglassservices.com/,onlyglassservices.com,+1 682-241-3379,,0,0,UNRESOLVED,"unknown — glass business, scope not established",False,low,Three searches returned no indexed content from onlyglassservices.com and nothing tied to 682-241-3379; results were entirely other Fort Worth / Texas glass companies. No Google review text in the rec,no usable evidence,UNREACHABLE,1,,
Adrielisha Glass and Installation Services,,,,,5,501,UNRESOLVED,"glass shop or building contractor, window scope unknown",False,low,"Two searches returned no listing, page or directory entry for this business name. The record has no address or phone to disambiguate, so nothing could be verified.",no usable evidence,NO_WEBSITE,1,,
AL DEX Renovation LLC,,,+1 512-740-7370,,5,24,UNRESOLVED,Handyman / small renovations,False,low,"Thumbtack, Yelp ('AL DIX RENOVATION - Handyman') and Nextdoor confirm the business in Austin with phone (512) 740-7370, described as handyman services, home repairs, drywall and small renovation proje",no usable evidence,NO_WEBSITE,1,,
All Season Remodeling Inc.,http://www.allseasonremodelinginc.com/,allseasonremodelinginc.com,+1 815-988-1375,,0,0,UNRESOLVED,"unknown — remodeling contractor per name only, no indexed content found",False,low,"No indexed page from allseasonremodelinginc.com in any result. Phone 815-988-1375 surfaced only as a Yellow Pages listing for 'Patio Builders, Home Improvements, Deck Builders' at 238 Gilbert Ter, Mac",no usable evidence,UNREACHABLE,1,,
All Trades Austin Contracting Co.,,,+1 512-999-1587,,5,10,UNRESOLVED,Specialty contractor,False,low,"Procore Network profile 'All Trades Austin Contracting Co. | Austin, TX' and a Bizapedia entity record confirm the company exists; the trades listed on the Procore profile (ceilings, ceramic tiling, c",no usable evidence,NO_WEBSITE,1,,
ALUMINUM GLASS FABRICATION & INSTALLATION,,,,,0,0,UNRESOLVED,unknown (generic trade name),False,low,"Name is a generic trade description and no business page matching it was found; both searches returned other fabricators (Hall Aluminum Products, Starglass Aluminum Dallas, assorted PH Facebook shops)",no usable evidence,NO_WEBSITE,1,,
Amazing Glare LLC.,,,+1 214-586-6242,,0,0,UNRESOLVED,unknown,False,low,"Only a corporate-registry stub: bizapedia.com/tx/amazing-glare-llc.html 'AMAZING GLARE LLC in Dallas, TX'. No website, service description or directory category found; the 214-586-6242 number returned",no usable evidence,NO_WEBSITE,1,,
