verdict,verification,company_name,website,domain,city,state,phone,address,rating,review_count,google_verified,window_service,segment,also_does_auto_glass,primary_business,confidence,evidence,duplicate_domain,original_spreadsheet_tab
YES,web-searched,1n20 Home Services,https://www.1n20homeservices.com/,1n20homeservices.com,Corinth,TX,+1 214-215-4830,"2602 Boulder Dr, Corinth, TX 76210, United States",4.9,42,Yes,"Custom vinyl low-E replacement window installation; also doors, siding, roofing",Residential,False,Exterior remodeling / replacement windows contractor,high,"Site pages 'Replacement Windows Corinth' (1n20homeservices.com/corinth/replacement-windows/), 'Window Company in DFW' (/windows/window-company/), 'Denton Replacement Windows Company' (/about-us/); described as a local vinyl replacement window company that customizes and installs low-E energy-efficient windows",,Window
YES,web-searched,828 Windows & Doors,http://828windowsanddoors.com/,828windowsanddoors.com,,,+1 214-389-2828,,,,Yes,Window and door replacement,Residential,False,Windows & doors replacement company,medium,"Yelp listing title '828 WINDOWS & DOORS - Dallas, Texas - Windows Installation'; Crunchbase profile for 828 Windows & Doors, Dallas TX window/door replacement",,Window
YES,web-searched,Adams Exteriors,http://www.adamsexteriors.com/homewindowguy/,adamsexteriors.com,Dallas,TX,+1 214-349-7283,"410 S Willomet Ave, Dallas, TX 75208, United States",5.0,2,Yes,"Energy-efficient vinyl replacement windows, supply and installation (Pella, Andersen, Simonton, Alside priority installer)",Residential,False,"Replacement window / exterior (windows, siding, roofing) contractor",high,"Page titles 'Home Window Guy. Vinyl Replacement Windows Dallas Tx.' (adamsexteriors.com/index3.html) and city pages /cities/plano/, /cities/richardson/; BBB category 'window installation'",YES,Window
YES,web-searched,"Advanced Windows, Doors and More",https://advancedwindowsdoorsandmore.com/,advancedwindowsdoorsandmore.com,,,+1 469-678-0401,,5.0,30,Yes,"Window installation and replacement, glass replacement; also doors and siding",Residential,False,"Window, door and siding installation company",high,Site page title 'Window Installation & Glass Replacement Services' (advancedwindowsdoorsandmore.com/services/); BBB category 'window & door installation',,Window
YES,web-searched,AJ Window Solutions LLC,https://ajwindowsolutions.com/,ajwindowsolutions.com,Farmers Branch,TX,+1 972-207-1560,"11419 Mathis Ave Ste 211, Farmers Branch, TX 75234, United States",4.3,13,Yes,"Repair, replacement and installation of windows and glass (plus screens, blinds, shutters)",Residential,False,Window and glass repair/replacement company,high,"Company description: 'repair, replacement, and installation of window and glass as well as screens, blinds, and shutters'; Google review describes broken French-door glass replaced and installed",,Window
NO,web-searched,All About The Window,https://allaboutthewindow.com/,allaboutthewindow.com,Dallas,TX,+1 214-683-9770,"6445 Cedar Springs Rd Unit 112, Dallas, TX 75235, United States",4.9,49129,Yes,,,False,"Custom window treatments (draperies, roller/roman shades, shutters)",high,"Site title 'Custom Window Treatments by All About the Window' (allaboutthewindow.com/); Houzz category 'Window Treatments'; began by selling custom draperies, offers roller shades, draperies, roman shades and shutters",,Window
YES,web-searched,"Alpine Exteriors Siding, Roofing & Windows",https://alpineexteriorstx.com/,alpineexteriorstx.com,Dallas,TX,+1 214-537-9454,"5960 Berkshire Ln Ste 100, Dallas, TX 75225, United States",5.0,13,,Window replacement and installation; authorized Milgard and Andersen window supplier and installer,Both,False,"Exterior remodeling contractor (siding, roofing, windows, decking)",high,"Site 'Alpine Exteriors TX - Expert Siding, Roofing & Window Contractors'; services list includes 'window replacement and installation' and 'authorized Milgard and Andersen window supplier and installer'; Google review 'siding and window replacement in Allen'",,Window
YES,web-searched,Alumiglass and Windows LLC,https://alumiglassandwindows.com/,alumiglassandwindows.com,Frisco,TX,+1 972-658-2192,"1235 Tree Top Dr, Frisco, TX 75033, United States",5.0,74,Yes,"Window and glass installation/repair, energy-efficient windows, storefronts, board-up; residential and commercial",Both,False,Residential and commercial glass and window installation company,high,Site pages 'Expert Glass & Window Installation in Frisco' (/frisco) and 'Your Trusted Residential & Commercial Glass Experts in North Dallas'; services include 'Glass/Window Installation ... Storefront and Board Up for both Residential and Commercial',,Window
YES,web-searched,Amazing Exteriors,http://amazingexteriors.com/locations/dallas/,amazingexteriors.com,Farmers Branch,TX,+1 817-761-4113,"4343 Sigma Rd Suite 100, Farmers Branch, TX 75244, United States",4.6,244,Yes,"Replacement windows (Marvin dealer/installer), entry doors, siding",Residential,False,Home exterior remodeler - replacement windows and siding,high,"Page title 'Window Replacement Dallas TX' (amazingexteriors.com/locations/dallas/); 'hand-picked by Marvin Windows ... deliver the highest quality, longest-lasting replacement windows'",,Window
YES,web-searched,Andersen Windows,https://www.andersenwindows.com/,andersenwindows.com,Garland,TX,+1 214-221-9500,"3801 Regency Crest Dr, Garland, TX 75041, United States",4.1,59,No,Window manufacturer that also sells and installs direct to homeowners (Renewal by Andersen); this Garland address is its DFW distribution center,Both,False,Window and door manufacturer / distributor,medium,"Search shows 3801 Regency Crest Dr, Garland is the 'Gateway East Distribution Center ... home to Andersen Windows' DFW distribution center for 16 years', 223,000 sq ft warehouse/distribution, category 'Manufacturing / Windows & Doors'; Google review 'We had our new windows installed by the best guys ever'. AMBIGUOUS: the listed site is a warehouse, not a local installing contractor",,Window
