,,,,,,,,,,,,,,,
Radiant Plumbing,Air Conditioning,& Electrical,Yes,"901 Reinli St, Austin, TX 78751, United States",+1 512-690-4935,https://radiantplumbing.com/austin/?utm_source=google&utm_medium=businesslisting&utm_campaign=atx-brand_gmb_1023&utm_content=atx-brand,4.8,17779,,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWk5dY6fAqGCcgxQTNGIuuJV_7xWrZ_5TYmv--AupVMNH0zbzV4jkGv-QlM91wAz_BxbxZYzI6OnVkYr5E8rYQzywtD-yjZ6iYQsVbGv_fYPYE9l1rlKnw7X09kZ-V6EKsOZERlR=w426-h240-k-no,"Jason and Mike from Radiant Electrical provided an awesome service experience! They were professional, timely, and knowledgeable and understood my vision for …##I’m extremely grateful for Radiant Plumbing & AC. Beginning with their booking and scheduling was very easy. A provider came out the next day, giving me a 45 minute notice prior to arrival. Juan Ramirez came out and was very professional …##Jeff Hicks with Radiant Plumbing was great to work with. He came the same day I inquired about my shower water leak. He took the time to explain why I had a water leak and what needed to be done to fix it. As a first-time homeowner, this …",,,,
SONIQ Windows and Doors,Austin,,+1 512-256-1734,https://soniqwindows.com/,5,2,"Saturday: Closed, Sunday: Closed, Monday: 9 AM–5 PM, Tuesday: 9 AM–5 PM, Wednesday: 9 AM–5 PM, Thursday: 9 AM–5 PM, Friday: 9 AM–5 PM",https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnf5BT0eUVVZqr8bg6P86wt4UYHdyD4702_yU9qLJ-EgPR2aAvMcBmNH9ZLfEFDRVii7P5vFuPaTpV72Pgpm5h_5EvTJBynj9IYGS2mQFRXGpGtAi21p2u8ukFQUebyQRQdqbxOE-aG8y1P=w408-h272-k-no,"If you’re looking for the best window and door company in Austin, SONIQ is who you need! While building a second home in Austin Dan helped us when we had limited time in Austin. No other company was willing to accommodate our needs and then …##These windows and doors are so beautiful and of the highest quality! The homes I have seen them in have been absolutely stunning. Soniq’s group in Austin deliver 5 star service and really stand by their product. Custom built to make your home truly unique!",,,,,,
Jacquelyn Bilek Design Build,Austin,"8000 US-290, Austin, TX 78736, United States",+1 512-915-4416,http://www.jbilek.com/,5,15,"Saturday: Open 24 hours, Sunday: Open 24 hours, Monday: Open 24 hours, Tuesday: Open 24 hours, Wednesday: Open 24 hours, Thursday: Open 24 hours, Friday: Open 24 hours",https://lh3.googleusercontent.com/gps-cs-s/AHRPTWkNh7RUciFfHS7rZM_GahuVD9GtVLgB9We08t5SAtft0x8yPhxysMBPLxDnUlOLb_lDLLTnIBYYN5jd1nPFyLjbrGelikFn44X43XAvJZ2nn9JqwKRbQdA5pgzX9gJIQzfxNFqs=w408-h259-k-no,"As a business owner myself, I really appreciate when a company is honest, organized, and does what they say they’re going to do. That’s exactly what I experienced with Jacquelyn Bilek Design Build. Jacquelyn designed and built our vacation …##Jacquelyn is incredibly talented and brings so much more to a project than beautiful interiors. She has a rare ability to blend thoughtful design with the technical knowledge and project management needed to bring a vision to life. From …##Jacquelyn at Jacquelyn Bilek Design Build does some of the best work I’ve seen in the industry, and I’ve been around construction and design long enough to know quality when I see it. What really sets her apart is that she never sacrifices …",,,,,,
Shine of Greater Ft Lauderdale,Boca Raton & Delray,,+1 954-881-0031,https://www.shine-windowcleaning.com/fort-lauderdale/?utm_source=GMB&utm_medium=organic&utm_campaign=FortLauderdale,5,154,"Sunday: 9 AM–1 PM, Monday: 7 AM–5 PM, Tuesday: 7 AM–5 PM, Wednesday: 7 AM–5 PM, Thursday: 7 AM–5 PM, Friday: 7 AM–5 PM, Saturday: 9 AM–3 PM",https://lh3.googleusercontent.com/gps-cs-s/AHRPTWmPi0dFa3zJAOay9Wocybn7HWXz3Q2JOf7jDC_1ZLOvQonQAsGocGWaMJwtTiC6KTKQU6FKxrFU7U99Cci78YIvHLpt7lUK0AYJZZnHOkn9j1TdhZPHZSzz2JhBI-lnBXa8wLEq3HBpTQnp=w408-h274-k-no,"The best!!! I really can’t say enough about SHINE!! Stephanie responded to my inquiry in record time. She was detailed and got us scheduled immediately. The guys were on time, personable, professional and answered of my questions. The …##Shine is simply outstanding. Their window cleaning is flawless, every pane is left crystal clear to the point where it genuinely looks like there is no glass at all. The team is incredibly friendly, professional and always right on time. It …##10/10 experience would highly recommend!! This company was extremely professional, from the initial phone call, to the consultation, down to the services provided! We have large modern windows throughout our house, which can be very hard to …",,,,,,
Royal Renovations,Contractors,"1111 W Mockingbird Ln Ste 1360, Dallas, TX 75247, United States",+1 888-899-3368,http://www.royal-renovations.com/,4.8,101,"Saturday: 6 AM–8 PM, Sunday: 6 AM–8 PM, Monday: 6 AM–8 PM, Tuesday: 6 AM–8 PM, Wednesday: 6 AM–8 PM, Thursday: 6 AM–8 PM, Friday: 6 AM–8 PM",https://lh3.googleusercontent.com/gps-cs-s/AHRPTWk9FJkVmHnmtvrw76ROnmlwzEx64aoVc1jpcNQcFVaaOrJlhjIOgXsv3M1dcnsTJz0jDheaOSDzBRMVVaM8oYcXKsAKNKnGMFnM0TFveWVJraUsB2ZY2Fsz_NVMAvCFHy1Atn5_pwZTmlcO=w408-h544-k-no,"Royal Renovations did an excellent and amazing job on our patio roof. Shemar came out and spoke with my husband Troy on the issues we were having. Shemar then got with Kevin and came up with a game plan. When they started on the roof, they …##Royal Renovations did an amazing job with my unit. Kevin is very personable. He’s a great listener and ensures quality work. I am very satisfied!!!##Royal Renovations made the entire roofing process so much easier than I expected. My insurance claim had been sitting for years because of mortgage company paperwork, but they helped get the funds released and completed my new roof without …",,,,,,
CAT Exteriors,Dallas,"9865 Chartwell Dr, Dallas, TX 75243, United States",+1 833-444-4228,https://www.catexteriors.pro/,4.4,47,"Saturday: 9 AM–4 PM, Sunday: Closed, Monday: 9 AM–6 PM, Tuesday: 9 AM–6 PM, Wednesday: 9 AM–6 PM, Thursday: 9 AM–6 PM, Friday: 9 AM–4 PM",https://lh3.googleusercontent.com/gps-cs-s/AHRPTWmelIc15uQYPoC3OIkxmzfEzfrFwPBPpTqTfPD4ZAIjeOURvD1nBO59TsXrvJllNRUcWrmw_RYG7D3zzrH58qh3pVNw3rklGA97PXoBUp24HD3hQ7DZHdIxZ2KV4zNKmLO8vVTV=w408-h544-k-no,"Dylan Hill, Tyler and Ignacio ⭐⭐⭐⭐⭐ …##Wonderful experience all around. The salesmen Kent Byers was very informative and helped us through the entire process. The crew installing the windows was fantastic. Ignacio was great at navigating the hiccups that can arise while …##Dylan, Tyler and Daniel had a great experience with this company. Dylan, Tyler, and Daniel did an …",,,,,,
LockTight Impact Windows,Doors,& Roofing,Yes,"2200 SW 45th St #101, Fort Lauderdale, FL 33312, United States",+1 954-500-5625,https://locktightimpact.com/?utm_source=omg-gbp&utm_medium=webclick,4.8,2215,"Sunday: Open 24 hours, Monday: Open 24 hours, Tuesday: Open 24 hours, Wednesday: Open 24 hours, Thursday: Open 24 hours, Friday: Open 24 hours, Saturday: Open 24 hours",https://lh3.googleusercontent.com/gps-cs-s/AHRPTWkusJiE8p3j39LSo6gVbeuDHvLfByQcF7P5crMIQnZoqKDAoezuc4icX4Dl_QUmOBf9Lgni9FAmhmzxNwg7w9qEha9xfRfv6WACGMHoVvzKi1G35QHv6WTbHT43vKRPE8wR1NU8m-ML7UmS=w408-h306-k-no,"Locktight Roofing experience can’t be compared to any other company. They are truly amazing from start to finish. If you have any questions or …##We recently had our impact windows and patio doors installed, and the entire experience exceeded our expectations from start to finish. What stood out most was the company’s reliability—they delivered exactly what they promised, with no …##We had all new windows and doors installed and couldn’t be happier with the experience. The team was professional, communicated clearly throughout the entire process, and kept the job site clean from start to finish. The project was …",,,,
American Strong Windows,Doors,& Roofs Inc,Yes,"966 NW 51st Pl, Fort Lauderdale, FL 33309, United States",+1 954-245-1744,https://americanstrong1.com/,5,10,"Sunday: Closed, Monday: 9 AM–8 PM, Tuesday: 9 AM–8 PM, Wednesday: 9 AM–8 PM, Thursday: 9 AM–8 PM, Friday: 9 AM–8 PM, Saturday: 9 AM–8 PM",https://lh3.googleusercontent.com/gps-cs-s/AHRPTWkCAVRDJzLTy41eqT6dkkgj_UM3ZcWtJaAcY7Tu0hdSr58cZim5Mg1yle4PpewmiXuUGKdairv9qZM7dAcz8fHUNhBxJb9c5E14Yg3N_2jEnVf3iD7co1MNouHN4HuG1o21ONi1iumu9HuY=w408-h305-k-no,"I just wanted to say how impressed and satisfied I am with the roof work. The quality and attention to detail truly exceeded my expectations. I would definitely recommend your services to anyone looking for reliable and excellent workmanship. Thank you for a job very well done!##Rick at American Strong who did my windows Wow he saved me thousands with my 13 windows Everything was perfect and the installation was great accurate no mess to clean …##Rick and Brian were amazing. We met several companies getting quotes on our windows and American Strong was &3,000 less than the lowest quote. So glad we went with American Strong",,,,
Surplus Building Materials (SBMTX) | Home Improvement,Doors,Kitchens,Floors,& Installation Experts in Texas,Yes,"3404 Belt Line Rd, Farmers Branch, TX 75234, United States",+1 972-241-4444,https://sbmtx.com/,4.3,483,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWkPnKpy0An5icNV2HP3xus07EyY5tuV1CDJ7Y4ykanUTI7SionfqtE7W0ABruV4eRLjjAA9usWFmr5iOSPHhGcJRvfLOSjV93ZxP5Mt-OCRtcXhULM-rqukeSpndxXFcgW_nuk=w408-h408-k-no,,"Just had a new door installed. Everyone was so great to work with. Our sales consultant Allen helped us pick our door without being pushy trying to get us to buy the most expensive door. The crew that installed it, wow they were great. Orlando and his partner kept everything clean. Great install! Thanks!##Ordered a door to my house in Utah. It was damaged during shipping and the team did not even hesitate to send me out a new door instantly. No hassel what so ever. Highly recommend them. Oh and the new door looks amazing##We have used SBMTX for 2 cabinet projects so far. Their products are great (quality and selection) and their customer service is outstanding. They have live customer service and respond quickly to requests. When a panel was missing from an …",,
MR GLAZIER - Windows,Doors,Shower Enclosures,No,"217 S Federal Hwy, Fort Lauderdale, FL 33301, United States",+1 954-504-6501,https://mrglazier.com/fl-fort-lauderdale/,0,0,"Sunday: 7 AM–11 PM, Monday: 7 AM–11 PM, Tuesday: 7 AM–11 PM, Wednesday: 7 AM–11 PM, Thursday: 7 AM–11 PM, Friday: 7 AM–11 PM, Saturday: 7 AM–11 PM",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=55Os6lD-BgnvWFbQ3bePfA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=106.27905&pitch=0&thumbfov=100,,,,,
Michaels Windows,Doors & More,,+1 815-217-8429,http://michaelswindowsdoorsandmore.com/,5,22,"Sunday: Closed, Monday: 8 AM–5:30 PM, Tuesday: 8 AM–5:30 PM, Wednesday: 8 AM–5:30 PM, Thursday: 8 AM–5:30 PM, Friday: 8 AM–5:30 PM, Saturday: 8 AM–5:30 PM",https://lh3.googleusercontent.com/gps-cs-s/AHRPTWke31KQMgHLhOJP4LAB5gRvyrskIHGzKi-9606tN03ZIFKoz2ePl7jxSB9Ejddmrn8wfMwiNBpQSTduxkHog1eIQdmeb-h5w8TKceDagvJFWEoKpgnq2ERNEI5Vt9e2iKZbof5iSBW2Hmv0=w408-h544-k-no,"I just want to share my experience with this company. I was remote out of town due to the military. My neighbor was shoveling and accidentally broke a side window on my home. Mike was able to come out trust worthy"" use my code and come …##Mike did a great job on the windows at my building!! 4 units total and he was so accommodating of all our conflicting work schedules",kids,"and pets. Fast installation but still quality work. Professional and CLEAN! No debris inside or out. Highly recommend his work. Thank you again!!##Michael was amazing! He gave me a really fair quote and delivered excellent service while installing my new window. He moved fast and worked efficiently around my schedule. I highly recommend giving Michael a call if you accidentally break a window! 10/10""",,,,
