company_name,website,domain,phone,address,rating,review_count,qualified,window_services,also_vehicle_glass,confidence,evidence,source,site_status,locations,other_phones,other_addresses
101% AUTO WORKS DALLAS,http://101autowork.com/,101autowork.com,+1 903-257-8996,"11857 Judd Ct #200, Dallas, TX 75243, United States",4.9,173,NO,vehicle glass only,True,medium,"th locations in Los Angeles and Dallas, we specialize in exceeding expectations with top-notch car window tinting, body wraps, detailing, and washing.",site scrape,NO,1,,
1st Capital Certified Roofing,https://roofingcompanyaustin.com/,roofingcompanyaustin.com,+1 512-358-1300,,4.9,87,YES,installs/replaces windows; pane glazing work; replacement windows; window product line; window replacement/installation,False,high,Inspections Roof Maintenance Storm & Hail Damage Insurance Restoration Siding Replacement Window Replacement All services → Company About Us Gallery Testimonials Blog Financing In the Community Locat,site scrape,YES,1,,
1st Choice Energy,http://www.1stchoiceenergy.com/,1stchoiceenergy.com,+1 512-345-0956,"3915 Becker Ave, Austin, TX 78751, United States",4.9,65,NO,window tint/film,False,medium,ion & Duct Renovation Weatherization Assistance Program HVAC HVAC Replacement Duct Renovation Solar Screens Austin’s First Choice for Home Energy Upgrades Get Started Let’s Make Your Home More Comfort,site scrape,NO,1,,
1st Home & Commercial Services,https://www.1sthomeandcommercialservices.com/,1sthomeandcommercialservices.com,+1 512-282-7787,"630 Ralph Ablanedo Dr Bldg 1, Austin, TX 78748, United States",4.8,830,YES,windows & doors,False,high,Keeping windows and doors sealed to limit pollen and dust from entering your home.,site scrape,YES,1,,
1st Responder Exterior Solutions LLC,,,+1 469-498-7911,"1341 W Mockingbird Ln Suit 600W, Dallas, TX 75247, United States",5,11,YES,"energy-efficient replacement windows offered alongside roofing, siding, gutters",False,medium,"1st Responder Roofing & Exterior Solutions (1341 W Mockingbird Ln, Dallas 75247 — matches) lists 'Exterior Siding and Energy Efficient Windows' among its services, plus insulation, rain gutters, garage doors, stucco (1stresponder-roofing.com).",web search,NO_WEBSITE,1,,
2 guys home repair LLC.,,,+1 469-927-4674,,4.8,12,UNRESOLVED,home repair / remodeling,False,low,"Business confirmed by phone match — Yelp '2 Guys Remodeling - Dallas, TX, (469) 927-4674'; also Facebook '2 GUYS Home Repair, Cedar Hill TX'. Neither listing publishes a service list, so whether they ",no usable evidence,NO_WEBSITE,1,,
21st Century Painting Roofing & Siding of Austin,https://www.21stcenturytexas.com/,21stcenturytexas.com,+1 512-219-0342,"9811-A, Beck Cir, Austin, TX 78758, United States",5,518,NO,"exterior/interior painting, roofing and siding contractor",False,medium,"21stcenturytexas.com — '21st Century handles roofing, siding repair and replacement, and exterior painting under one roof.' Indexed service pages are painting (interior/exterior), roofing and siding only; two searches surfaced no window service page.",web search,UNKNOWN,1,,
290 Graphics Texas LLC,https://290graphicsjesustint.com/,290graphicsjesustint.com,+1 512-271-4531,"9530 US-290, Austin, TX 78724, United States",4.4,98,NO,"automotive window tint, vehicle wraps and graphic design",False,high,"290graphicsjesustint.com pages titled 'Auto Window Tinting Austin TX', 'Car Tint Austin TX', 'Car Graphics Austin Texas' — 'specializes in Nano Ceramic Tint, Carbon Ceramic Tint and Regular Tint for automobile ... also offer commercial tint'. Tint/film only, no window install or glass replacement.",web search,UNREACHABLE,1,,
3 Day Blinds,https://www.3dayblinds.com/landing-page-002/?adkey=MC23023&utm_source=google&utm_medium=seo&utm_term=none&utm_content=save20&utm_campaign=3db_seo_google_googlemybusiness_202304_save20_dac,3dayblinds.com,+1 866-327-2441,,3.6,32,NO,window treatments,False,medium,Custom Window Treatments and Design | 3 Day Blinds .,site scrape,NO,1,,
4Family Construction,,,,,5,2,UNRESOLVED,unknown (construction),False,low,"No listing found under this name in either search; results were other contractors (4U Construction & Remodeling, 4 C's Remodeling, 4 R Construction). No address or phone in source data.",no usable evidence,NO_WEBSITE,1,,
7 Stars European Auto,https://7starseuropeanauto.com/,7starseuropeanauto.com,+1 214-242-9420,"8330 Harry Hines Blvd, Dallas, TX 75235, United States",5,48,NO,no window installation or repair signal on site,False,medium,,site scrape,NO,1,,
787 Construction,http://www.787construction.com/,787construction.com,+1 512-240-6738,"7415 Southwest Pkwy Bldg 6 Ste 500, Austin, TX 78735, United States",5,110,NO,no window installation or repair signal on site,False,medium,,site scrape,NO,1,,
828 Windows & Doors,http://828windowsanddoors.com/,828windowsanddoors.com,+1 214-389-2828,,3.3,333,YES,Window and door replacement,False,medium,"Yelp listing title '828 WINDOWS & DOORS - Dallas, Texas - Windows Installation'; Crunchbase profile for 828 Windows & Doors, Dallas TX window/door replacement",web research (earlier pass),UNKNOWN,1,,
8WS Construction,https://commercialconstructionaustin.com/,commercialconstructionaustin.com,+1 936-298-4902,,5,2,YES,Window installation as part of framing/build-out and room addition work,False,medium,"commercialconstructionaustin.com — '8WS Construction is a General Contractor in Austin, TX 78748', offering framing ('expert carpenters and framers') and cabinets; BBB category 'commercial contractors'. Google review: '8WS Construction added a whole room to my home, framed, put insulation, installed",web search,UNREACHABLE,1,,
921 Roof,https://www.921roof.com/,921roof.com,+1 972-921-7663,,5,18,YES,window product line,False,medium,"] In the end, we got beautiful Class 4 impact-resistant shingles, upgraded gutters, new windows, and fresh paint and stain with very little out-of-pocket cost.",site scrape,LIKELY,1,,
