company_name,website,domain,city,state,phone,address,rating,review_count,status,basis,confidence,source
Radiant Plumbing Air Conditioning & Electrical Yes,https://radiantplumbing.com/austin/?utm_source=google&utm_medium=businesslisting&utm_campaign=atx-brand_gmb_1023&utm_content=atx-brand,radiantplumbing.com,Austin,TX,+1 512-690-4935,"901 Reinli St, Austin, TX 78751, United States",4.8,17779,NO,"unrelated trade, no window signal",high,name + review keyword filter
SONIQ Windows and Doors Austin,https://soniqwindows.com/,soniqwindows.com,,,+1 512-256-1734,,5,2,YES,name states window installation/replacement/doors,high,name + review keyword filter
Jacquelyn Bilek Design Build Austin,http://www.jbilek.com/,jbilek.com,Austin,TX,+1 512-915-4416,"8000 US-290, Austin, TX 78736, United States",5,15,NEEDS_SITE_CHECK,"glass shop or building contractor, window scope unknown",,name + review keyword filter
Shine of Greater Ft Lauderdale Boca Raton & Delray,https://www.shine-windowcleaning.com/fort-lauderdale/?utm_source=GMB&utm_medium=organic&utm_campaign=FortLauderdale,shine-windowcleaning.com,,,+1 954-881-0031,,5,154,NO,"Window cleaning, pressure washing, gutter cleaning, holiday lighting franchise",high,verified last run (web search)
Royal Renovations Contractors,http://www.royal-renovations.com/,royal-renovations.com,Dallas,TX,+1 888-899-3368,"1111 W Mockingbird Ln Ste 1360, Dallas, TX 75247, United States",4.8,101,YES,"Windows listed among residential services (painting, siding, roofing, gutters, windows, additions)",high,verified last run (web search)
CAT Exteriors Dallas,https://www.catexteriors.pro/,catexteriors.pro,Dallas,TX,+1 833-444-4228,"9865 Chartwell Dr, Dallas, TX 75243, United States",4.4,47,YES,"Replacement windows (double-hung, single-hung, picture, geometric); Anlin gold star dealer with installation",high,verified last run (web search)
LockTight Impact Windows Doors & Roofing Yes,https://locktightimpact.com/?utm_source=omg-gbp&utm_medium=webclick,locktightimpact.com,Fort Lauderdale,FL,+1 954-500-5625,"2200 SW 45th St #101, Fort Lauderdale, FL 33312, United States",4.8,2215,YES,window in name + review describes window work,high,name + review keyword filter
American Strong Windows Doors & Roofs Inc Yes,https://americanstrong1.com/,americanstrong1.com,Fort Lauderdale,FL,+1 954-245-1744,"966 NW 51st Pl, Fort Lauderdale, FL 33309, United States",5,10,NEEDS_SITE_CHECK,window in name but service type unconfirmed,,name + review keyword filter
Surplus Building Materials (SBMTX) | Home Improvement Doors Kitchens Floors & Installation Experts in Texas Yes,https://sbmtx.com/,sbmtx.com,Farmers Branch,TX,+1 972-241-4444,"3404 Belt Line Rd, Farmers Branch, TX 75234, United States",4.3,483,YES,"Carries windows in a 150,000 sq ft showroom/warehouse and offers window replacement service alongside door, flooring and cabinet installation",medium,verified last run (web search)
MR GLAZIER - Windows Doors Shower Enclosures No,https://mrglazier.com/fl-fort-lauderdale/,mrglazier.com,Fort Lauderdale,FL,+1 954-504-6501,"217 S Federal Hwy, Fort Lauderdale, FL 33301, United States",0,0,YES,name states window installation/replacement/doors,high,name + review keyword filter
Michaels Windows Doors & More,http://michaelswindowsdoorsandmore.com/,michaelswindowsdoorsandmore.com,,,+1 815-217-8429,,5,22,NEEDS_SITE_CHECK,window in name but service type unconfirmed,,name + review keyword filter
Republic Windows Doors & Roofing,https://www.republicwindow.com/,republicwindow.com,Fort Lauderdale,FL,+1 754-800-4115,"1541 E Commercial Blvd, Fort Lauderdale, FL 33334, United States",4.8,228,NEEDS_SITE_CHECK,window in name but service type unconfirmed,,name + review keyword filter
Advanced Windows Doors and More,https://advancedwindowsdoorsandmore.com/,advancedwindowsdoorsandmore.com,,,+1 469-678-0401,,5,30,YES,"Window installation and replacement, glass replacement; also doors and siding",high,verified last run (web search)
Titan Builders Impact Windows Doors and Roofing,https://www.titanbuilders.us/,titanbuilders.us,Fort Lauderdale,FL,+1 561-768-4826,"718 NW 8th Ave, Fort Lauderdale, FL 33311, United States",5,50,NEEDS_SITE_CHECK,window in name but service type unconfirmed,,name + review keyword filter
Andy's Sprinkler Drainage & Lighting,https://sprinklerdrainage.com/location/austin/?utm_source=gbp&utm_medium=organic&utm_campaign=gbp-listing&utm_content=austin-branch,sprinklerdrainage.com,Austin,TX,+1 866-717-0318,"9729 N Interstate Hwy 35, Austin, TX 78753, United States",4.8,883,NEEDS_SITE_CHECK,insufficient signal,,name + review keyword filter
Tukuran Glass & Aluminum Supply | Glass Door Installer,,,,,,,5,501,NEEDS_SITE_CHECK,"glass shop or building contractor, window scope unknown",,name + review keyword filter
HomePro Contracting Handyman Dallas Licensed General Contractors in Dallas. Yes,http://homeproservicesdfw.com/,homeproservicesdfw.com,Dallas,TX,+1 214-886-3326,"3100 Commerce St Ste 101, Dallas, TX 75226, United States",4.2,57,NO,Handyman services and licensed general contracting (same website/company as ID 463),medium,verified last run (web search)
Southwest Exteriors Inc,http://www.sweaustin.com/,sweaustin.com,,,+1 512-844-1882,,0,0,NEEDS_SITE_CHECK,insufficient signal,,name + review keyword filter
Modern Aluminum Products Inc,https://www.modernaluminumproducts.com/,modernaluminumproducts.com,Fort Lauderdale,FL,+1 954-522-3825,"2020 W McNab Rd bay F-13, Fort Lauderdale, FL 33309, United States",4.4,7,NEEDS_SITE_CHECK,insufficient signal,,name + review keyword filter
Windows & More Solutions Inc,http://www.windowsmoresolutions.com/,windowsmoresolutions.com,Fort Lauderdale,FL,+1 954-534-1960,"4875 Volunteer Rd, Fort Lauderdale, FL 33330, United States",5,7,NEEDS_SITE_CHECK,window in name but service type unconfirmed,,name + review keyword filter
Baker Roofing & Construction Inc,https://baker-roofing.com/,baker-roofing.com,Dallas,TX,+1 855-766-3777,"6507 Trammel Dr, Dallas, TX 75214, United States",4.9,62,YES,"Replacement windows, window screens, cracked/broken window glass repair; window installation as part of construction services",high,verified last run (web search)
Elite Remodeling Group Inc. No,https://www.eliteremodelinggroup.com/,eliteremodelinggroup.com,Rockford,IL,+1 815-977-9685,"5411 E State St, Rockford, IL 61108, United States",5,4353,YES,review explicitly describes window install/replacement,high,name + review keyword filter
WindowCraft Inc. No,https://windowcraftinc.com/,windowcraftinc.com,Gainesville,TX,+1 940-726-5008,"6441 I-35 Frontage Rd, Gainesville, TX 76240, United States",3.5,8,YES,Sale and installation of windows and doors for new construction and remodeling - Gainesville showroom of the same company as ID 136,high,verified last run (web search)
Action Window & Glass Inc.,http://actionwindowfl.com/,actionwindowfl.com,,,+1 754-293-7026,,4.8,59,YES,window in name + review describes window work,high,name + review keyword filter
All Season Remodeling Inc.,http://www.allseasonremodelinginc.com/,allseasonremodelinginc.com,,,+1 815-988-1375,,0,0,NEEDS_SITE_CHECK,insufficient signal,,name + review keyword filter
Lakeland Glass Inc.,https://maps.gstatic.com/tactile/pane/default_geocode-1x.png,maps.gstatic.com,,,+1 630-994-6878,,,,NEEDS_SITE_CHECK,"glass shop or building contractor, window scope unknown",,name + review keyword filter
SG Installations AZ Inc.,https://www.tvmountingaz.com/,tvmountingaz.com,,,+1 480-686-1896,,4.9,1155,NEEDS_SITE_CHECK,insufficient signal,,name + review keyword filter
Texas Door & Trim Inc.,http://www.tdt-inc.com/,tdt-inc.com,Dallas,TX,+1 214-342-9393,"11220 Petal St, Dallas, TX 75238, United States",2.8,24,YES,"Sells Andersen/Parrett/Eagle/Atrium/Velux windows with a full-time window specialist, and offers on-site window installation, staging, screen and tune services",medium,verified last run (web search)
Scratch Removal Specialists Inc.,http://www.srsscratch.com/,srsscratch.com,Fort Lauderdale,FL,+1 800-806-8807,"1140 NE 7th Ave Unit 5, Fort Lauderdale, FL 33304, United States",5,65,NEEDS_SITE_CHECK,insufficient signal,,name + review keyword filter
The Door Doctor of South Florida Inc.,https://www.thedoordoctor.net/,thedoordoctor.net,Oakland Park,FL,+1 954-491-0039,"1188 NE 47th St, Oakland Park, FL 33334, United States",4.9,331,NEEDS_SITE_CHECK,insufficient signal,,name + review keyword filter
East Coast Windows & Doors Inc.,https://eastcoastwindows.com/,eastcoastwindows.com,Pompano Beach,FL,+1 954-946-3697,"1711 SW 7th Ave, Pompano Beach, FL 33060, United States",4.5,110,YES,name states window installation/replacement/doors,high,name + review keyword filter
Austin Retrofit Inc.,http://www.austinretrofit.com/,austinretrofit.com,Austin,TX,+1 512-926-6665,"1834 Ferguson Ln Bldg 1300, Austin, TX 78754, United States",4.5,30,YES,review explicitly describes window install/replacement,high,name + review keyword filter
Creative Windows and Doors Inc.,https://www.google.com/maps/vt/pb=!1m4!1m3!1i17!2i36345!3i55688!2m3!1e0!2sm!3i793559766!2m2!1e2!2sspotlit!3m8!2sen!3sph!5e1105!12m4!1e68!2m2!1sset!2sRoadmap!4e0!5m1!1e0!23i1368782!23i1368785!23i4861626!23i10211310!23i1381938!23i47054629!23i47029525!23i72272233!23i72272234!23i72272236!23i72458815!23i94243289!23i94255677!23i72860224!23i10211515!23i94260020!23i100799651!23i72549439!27m15!299174093m14!14m13!1m8!1m2!1y9860913563660247961!2y1166371562866519408!2s%2Fg%2F1v2f19j1!4m2!1x260918035!2x3493246800!15sgcid%3Awindow_installation_service!2b0!3b0!6b0!8b0,google.com,Fort Lauderdale,FL,+1 305-218-2841,"2421 Marina Bay Dr W suite 13-107, Fort Lauderdale, FL 33312, United States",,,YES,name states window installation/replacement/doors,high,name + review keyword filter
Windows of Texas Inc.,https://windowsoftexas.com/,windowsoftexas.com,Grapevine,TX,+1 682-201-5645,"312 W Northwest Hwy, Grapevine, TX 76051, United States",4.8,21,YES,New and replacement windows and doors for DFW homes; window installation and repair via partner suppliers/installers,high,verified last run (web search)
Xtreme Auto Detail Inc.,https://xadetail.com/,xadetail.com,Austin,TX,,"4509 Hudson Bend Rd #200, Austin, TX 78734, United States",4.8,232,NO,"vehicle/automotive business, no glass or window signal",high,name + review keyword filter
SunStorm Construction Inc.,https://www.sunstormconstruction.com/,sunstormconstruction.com,Fort Lauderdale,FL,+1 954-398-5060,"501 E Las Olas Blvd Ste 200 & 300, Fort Lauderdale, FL 33301, United States",5,7,NEEDS_SITE_CHECK,"glass shop or building contractor, window scope unknown",,name + review keyword filter
All American Windows and Doors Inc.,http://www.aawimpact.com/,aawimpact.com,Fort Lauderdale,FL,+1 954-786-8525,"6001 Powerline Rd Ste B, Fort Lauderdale, FL 33309, United States",3.6,77,YES,name states window installation/replacement/doors,high,name + review keyword filter
Top Notch Roofing & Exteriors INC.,http://topnotchroofing.net/,topnotchroofing.net,Loves Park,IL,+1 815-721-4666,"7703 Forest Hills Rd, Loves Park, IL 61111, United States",4.9,115,NEEDS_SITE_CHECK,"glass shop or building contractor, window scope unknown",,name + review keyword filter
Jim Connelly Masonry Inc.,https://www.jcmiaustin.com/,jcmiaustin.com,Austin,TX,+1 512-288-2368,"7804 Thomas Springs Rd B, Austin, TX 78736, United States",5,10,NEEDS_SITE_CHECK,insufficient signal,,name + review keyword filter
Bliss Window & Screen Inc.,https://www.blisswindow.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp-fort-lauderdale&utm_id=local&utm_content=fort-fauderdale,blisswindow.com,Fort Lauderdale,FL,+1 954-763-5086,"815 N Andrews Ave, Fort Lauderdale, FL 33311, United States",4.4,77,NEEDS_SITE_CHECK,window in name but service type unconfirmed,,name + review keyword filter
Ripley's Blind & Drapery L.L.C.,https://ripleysblinds.com/,ripleysblinds.com,Austin,TX,+1 512-402-1999,"12400 State Hwy 71 #240, Austin, TX 78738, United States",4,14,NO,blinds/shades/shutters/drapery (window treatments),high,name + review keyword filter
Affordable Screens & Glass L.L.C.,,,Austin,TX,+1 512-358-1560,"16238 N FM 620 Ste F-362, Austin, TX 78717, United States",4.7,14,NEEDS_SITE_CHECK,"glass shop or building contractor, window scope unknown",,name + review keyword filter
SERVPRO of North Dallas Lake Highlands,https://www.servpro.com/locations/tx/servpro-of-north-dallas-lake-highlands?utm_medium=organic&utm_source=gbp,servpro.com,Dallas,TX,+1 214-667-3908,"10280 Miller Rd, Dallas, TX 75238, United States",5,39,NEEDS_SITE_CHECK,insufficient signal,,name + review keyword filter
Kb Contractors TX LLC No,http://www.kbcontractorstx.com/,kbcontractorstx.com,Austin,TX,+1 512-294-2027,"2500 S Hwy 183 Unit 130, Austin, TX 78744, United States",4.8,18,NEEDS_SITE_CHECK,insufficient signal,,name + review keyword filter
Window Kingdom LLC No,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=RY8HQC08RTbcWC1gh4PvHw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=223.04764&pitch=0&thumbfov=100,streetviewpixels-pa.googleapis.com,Dallas,TX,+1 888-839-6326,"3010 Lyndon B Johnson Fwy, Dallas, TX 75234, United States",,,NEEDS_SITE_CHECK,window in name but service type unconfirmed,,name + review keyword filter
ATX Imperial Auto Glass LLC No,http://atximperialautoglass.com/,atximperialautoglass.com,Austin,TX,+1 512-579-1998,"505 W Slaughter Ln, Austin, TX 78747, United States",1.4,9,NEEDS_SITE_CHECK,"auto-glass name, but may also do building glass — must verify",,name + review keyword filter
Solid Exteriors LLC,http://solid-exteriors.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=16700656850061699214,solid-exteriors.com,,,+1 469-520-0466,,4.7,16,YES,"Windows listed as a service alongside James Hardie siding, doors and gutters",high,verified last run (web search)
Trusted Window and Gutter Cleaning LLC,http://www.trustedwgc.com/,trustedwgc.com,,,+1 336-337-7175,,5,34,NO,"Window and gutter cleaning, pressure washing",high,verified last run (web search)
